Wavelength,I(0),I(KBr),I(KI)
521.6287,4331.73,1284.2822,830.0067
522.082,4361.95,1288.7222,836.0067
522.5352,4399.89,1298.3422,836.6467
522.9884,4426.99,1310.2622,847.1667
523.4416,4435.09,1315.5222,847.7067
523.8947,4497.45,1320.9622,851.6867
524.3479,4539.01,1335.5622,857.8867
524.801,4535.93,1341.8822,869.6267
525.2541,4570.31,1343.4222,872.3867
525.7072,4619.03,1346.9822,876.1667
526.1602,4655.25,1356.3022,879.0267
526.6132,4683.09,1365.8622,894.3867
527.0662,4707.25,1374.1022,899.5467
527.5192,4723.23,1367.4222,890.9867
527.9721,4760.73,1382.4022,901.9667
528.425,4765.11,1379.0822,904.1667
528.8779,4818.75,1387.6022,911.3667
529.3308,4877.27,1408.0622,923.8267
529.7837,4863.69,1405.2422,926.1867
530.2365,4928.77,1411.7022,930.8067
530.6893,4977.97,1421.3022,936.4667
531.1421,4998.25,1430.1222,948.2067
531.5948,5005.71,1434.7022,949.6067
532.0475,5071.71,1435.7022,959.7667
532.5002,5044.53,1429.1822,947.8467
532.9529,5111.09,1463.2622,971.0267
533.4056,5136.55,1454.5622,972.7267
533.8582,5151.35,1448.6222,971.0667
534.3108,5170.53,1459.7422,972.3267
534.7634,5206.37,1469.0622,982.6267
535.216,5267.35,1472.4022,985.2267
535.6685,5297.67,1480.1422,992.4867
536.121,5329.61,1493.0422,1001.8067
536.5735,5392.49,1506.1222,1009.3267
537.0259,5360.75,1486.5022,1008.1067
537.4784,5433.57,1512.2222,1016.4067
537.9308,5442.67,1510.0622,1026.3667
538.3832,5489.27,1512.2022,1028.6867
538.8355,5546.65,1526.0222,1038.6267
539.2879,5558.17,1529.2422,1047.8667
539.7402,5592.39,1535.7822,1046.8867
540.1925,5628.15,1538.0222,1060.0867
540.6448,5627.67,1540.0022,1049.3667
541.097,5667.67,1544.3622,1066.9667
541.5492,5749.33,1564.5422,1083.0067
542.0014,5764.11,1573.5822,1079.5667
542.4536,5796.67,1580.3022,1091.6467
542.9057,5879.71,1604.8222,1118.2267
543.3579,5892.47,1599.5422,1121.8467
543.81,5927.25,1601.5822,1122.3067
544.262,5910.21,1592.1222,1108.3267
544.7141,5983.37,1593.6822,1115.7867
545.1661,5998.71,1587.0222,1111.5067
545.6181,6023.11,1601.1022,1112.9667
546.0701,6059.87,1609.3022,1136.5867
546.522,6037.67,1604.0022,1128.1467
546.974,6104.47,1607.4622,1129.0267
547.4259,6113.25,1613.5822,1134.9467
547.8777,6143.43,1612.3822,1144.0467
548.3296,6187.25,1617.4822,1143.4267
548.7814,6201.01,1623.8422,1148.5667
549.2332,6277.29,1643.2022,1173.4467
549.685,6339.19,1638.8622,1174.6467
550.1368,6335.17,1630.5422,1170.1867
550.5885,6350.21,1646.0422,1175.3067
551.0402,6397.19,1653.0822,1184.0467
551.4919,6393.93,1646.2022,1188.6067
551.9436,6412.11,1645.6622,1184.4867
552.3952,6478.65,1658.7822,1196.9267
552.8468,6510.73,1650.5822,1208.2667
553.2984,6543.61,1655.9622,1205.0667
553.75,6535.63,1657.5422,1208.6467
554.2015,6551.11,1657.3422,1216.6267
554.653,6555.01,1655.9822,1217.0067
555.1045,6614.81,1660.0222,1214.7467
555.556,6650.19,1672.7822,1228.7867
556.0074,6693.11,1667.1022,1237.3067
556.4588,6698.83,1662.3822,1235.1667
556.9102,6750.13,1672.1622,1244.2467
557.3616,6786.49,1685.7622,1248.9867
557.813,6837.53,1688.4222,1260.2067
558.2643,6885.77,1696.6822,1262.4467
558.7156,6880.21,1695.8822,1262.9667
559.1669,6902.89,1693.9022,1264.5667
559.6181,6930.51,1686.9022,1265.7067
560.0693,6950.79,1687.7222,1270.9067
560.5205,7019.85,1706.2022,1289.3267
560.9717,7027.23,1700.8822,1294.5867
561.4229,7044.95,1689.0022,1287.9867
561.874,7098.81,1703.5422,1297.5067
562.3251,7098.39,1697.1822,1300.1667
562.7762,7094.29,1689.9422,1293.1667
563.2272,7207.79,1708.0022,1313.6867
563.6782,7219.69,1718.7822,1322.9267
564.1292,7292.87,1731.8222,1336.7867
564.5802,7365.15,1725.0422,1333.3867
565.0312,7403.83,1729.2822,1335.2867
565.4821,7433.25,1734.3422,1349.4267
565.933,7515.61,1739.9022,1364.5867
566.3839,7608.29,1761.0422,1370.1867
566.8348,7742.79,1789.9222,1399.1667
567.2856,7831.65,1802.1422,1407.6067
567.7364,7849.11,1790.1622,1412.2467
568.1872,7854.69,1798.1222,1414.0867
568.638,7959.29,1811.9622,1439.7867
569.0887,7963.21,1819.6422,1438.9267
569.5394,8002.25,1803.0022,1437.3867
569.9901,7957.33,1796.0822,1424.3667
570.4408,8065.51,1817.3022,1441.6467
570.8914,8239.17,1839.6622,1476.3467
571.342,8296.85,1843.9222,1479.6467
571.7926,8352.61,1861.3622,1489.1867
572.2432,8258.89,1831.8822,1472.0867
572.6937,8260.35,1817.7022,1480.2267
573.1443,8209.73,1814.0022,1466.6467
573.5948,8315.11,1835.4222,1479.7067
574.0452,8508.11,1859.8222,1510.3667
574.4957,8610.89,1869.0422,1526.1667
574.9461,8687.73,1894.3022,1539.0467
575.3965,8705.79,1898.7822,1547.9667
575.8469,8558.45,1852.8622,1525.5267
576.2972,8391.73,1815.2222,1483.3267
576.7475,8431.27,1819.7822,1498.6467
577.1978,8567.79,1836.9422,1512.6267
577.6481,8685.35,1848.7022,1517.6067
578.0984,8823.23,1875.1222,1551.0667
578.5486,9029.03,1913.6822,1574.8067
578.9988,9240.41,1956.6822,1622.0667
579.449,8989.15,1903.9022,1581.3467
579.8991,8732.13,1858.8222,1533.6467
580.3493,8518.41,1795.0422,1503.5067
580.7994,8453.19,1769.5422,1478.8067
581.2494,8506.31,1783.6822,1484.0867
581.6995,8663.25,1810.6622,1520.0667
582.1495,8824.61,1834.6422,1538.0267
582.5995,8918.83,1844.0822,1548.5667
583.0495,8775.37,1820.2222,1533.3467
583.4995,8712.07,1804.7022,1518.3667
583.9494,8651.79,1771.6622,1502.0067
584.3993,8736.81,1784.8622,1506.5667
584.8492,8782.47,1802.0622,1524.9067
585.2991,8675.15,1773.1022,1500.6867
585.7489,8586.41,1743.5422,1480.9867
586.1987,8563.75,1736.1222,1478.2267
586.6485,8451.57,1714.5822,1459.3467
587.0983,8446.35,1699.1022,1449.2067
587.548,8494.97,1710.1022,1455.6267
587.9977,8481.43,1713.6222,1455.6667
588.4474,8489.31,1714.9022,1462.7667
588.8971,8567.99,1699.6622,1461.1067
589.3467,8576.47,1705.6622,1458.6867
589.7963,8751.73,1736.1622,1488.7067
590.2459,8942.21,1777.8622,1514.8267
590.6955,8871.99,1752.9022,1506.9267
591.1451,8761.49,1735.5822,1495.1267
591.5946,8677.53,1707.5022,1477.7067
592.0441,8607.35,1685.5422,1452.1867
592.4935,8794.27,1722.2422,1483.2267
592.943,8693.15,1709.3422,1474.0667
593.3924,8613.89,1684.9422,1450.9267
593.8418,8591.67,1672.2422,1444.2067
594.2912,8603.21,1688.9422,1452.0467
594.7405,8698.69,1694.8822,1454.5467
595.1899,8728.93,1684.6422,1460.9867
595.6392,8738.29,1690.7022,1457.6267
596.0884,8884.05,1719.4422,1482.8067
596.5377,8939.71,1714.6622,1492.2467
596.9869,8876.23,1699.1222,1473.6067
597.4361,8899.79,1705.1022,1474.1267
597.8853,8861.45,1694.7222,1468.7667
598.3344,8877.29,1691.2222,1470.1267
598.7836,8830.11,1685.4422,1457.1067
599.2327,8805.35,1686.1622,1450.2267
599.6818,8867.89,1691.8422,1459.3467
600.1308,8901.69,1682.8222,1460.9267
600.5798,8903.75,1678.7222,1452.6067
601.0289,8971.13,1701.0422,1467.0667
601.4778,8817.27,1672.6222,1442.5267
601.9268,8847.49,1664.7222,1435.7267
602.3757,8848.99,1670.9422,1442.1067
602.8246,8925.31,1680.6022,1447.2667
603.2735,8990.83,1687.5222,1457.2467
603.7224,8956.93,1679.5622,1448.1667
604.1712,8882.91,1660.0222,1435.4667
604.62,8932.41,1666.0422,1446.1867
605.0688,8913.91,1653.5822,1434.8667
605.5176,8911.53,1658.7422,1431.2467
605.9663,8865.69,1651.5622,1419.8867
606.415,8904.89,1650.9622,1421.7467
606.8637,8855.35,1635.4822,1412.3467
607.3124,9007.75,1665.0022,1430.4267
607.761,8961.51,1658.7822,1426.0867
608.2097,8926.49,1650.0222,1418.2667
608.6582,8926.51,1645.1822,1412.0867
609.1068,8926.43,1647.7022,1404.4267
609.5554,8909.73,1638.0222,1399.4067
610.0039,8905.29,1637.3822,1392.4467
610.4524,8980.49,1658.8222,1403.4267
610.9008,8942.57,1637.9022,1398.8067
611.3493,8989.91,1647.8022,1400.9467
611.7977,8899.03,1630.3822,1390.4867
612.2461,8955.27,1646.7822,1389.6467
612.6945,8986.45,1637.7622,1387.6267
613.1428,8990.21,1642.9622,1390.1467
613.5911,8910.23,1632.8822,1379.4667
614.0394,8903.73,1628.8222,1375.7067
614.4877,8878.65,1622.7022,1362.1467
614.936,8959.19,1633.5622,1367.3667
615.3842,8932.47,1635.3622,1363.7467
615.8324,8852.19,1616.4622,1353.1267
616.2806,8843.41,1606.9022,1346.6267
616.7287,8859.21,1625.0622,1353.0267
617.1768,8865.93,1613.4422,1343.0667
617.6249,8882.97,1612.3222,1333.5667
618.073,8828.71,1603.3222,1324.9867
618.5211,8772.41,1604.2222,1325.0067
618.9691,8778.31,1599.8822,1323.4267
619.4171,8867.61,1610.9022,1323.6667
619.8651,8816.87,1608.2622,1314.5267
620.313,8856.31,1621.9622,1318.7867
620.761,8952.19,1626.9022,1332.2867
621.2089,8847.55,1604.3622,1302.9467
621.6568,8829.71,1609.9822,1303.8267
622.1046,8889.39,1626.3222,1324.8267
622.5525,8838.49,1606.1222,1307.8067
623.0003,8763.57,1600.6222,1295.1667
623.448,8762.71,1607.6422,1288.0267
623.8958,8740.91,1602.7822,1281.8867
624.3435,8764.49,1597.1422,1276.2467
624.7912,8805.29,1607.8222,1280.6067
625.2389,8777.25,1609.8622,1280.7667
625.6866,8720.03,1592.7822,1274.1267
626.1342,8721.71,1588.9822,1257.6467
626.5818,8737.75,1607.5222,1268.7067
627.0294,8801.37,1614.0622,1276.4867
627.477,8743.69,1602.7822,1255.2667
627.9245,8722.15,1601.8422,1245.5467
628.372,8733.61,1616.3022,1256.4067
628.8195,8709.85,1594.5222,1250.7067
629.267,8723.15,1603.6022,1240.8467
629.7144,8742.21,1617.0422,1243.7067
630.1619,8677.83,1605.8822,1236.1267
630.6093,8687.65,1600.3222,1229.5867
631.0566,8665.31,1602.5622,1226.4267
631.504,8680.07,1617.2022,1231.7267
631.9513,8658.85,1606.7422,1224.7067
632.3986,8625.39,1600.6622,1210.1267
632.8458,8740.03,1622.4222,1223.1467
633.2931,8688.33,1616.6622,1217.2067
633.7403,8701.23,1620.2022,1211.9667
634.1875,8645.89,1615.9422,1203.0667
634.6347,8686.49,1628.1222,1210.9867
635.0818,8686.19,1623.3222,1204.0867
635.5289,8609.77,1612.4422,1188.0467
635.976,8656.51,1631.7022,1191.5267
636.4231,8647.05,1633.0622,1195.2067
636.8702,8635.37,1626.3422,1182.3067
637.3172,8598.27,1615.4222,1169.0867
637.7642,8604.05,1632.0622,1181.2467
638.2112,8606.95,1633.2822,1178.8267
638.6581,8591.01,1625.5622,1171.9267
639.105,8575.19,1628.4222,1161.1267
639.5519,8581.55,1631.1822,1169.7267
639.9988,8568.97,1633.6622,1165.0067
640.4457,8548.51,1631.5422,1150.1667
640.8925,8544.15,1647.9222,1157.6267
641.3393,8529.75,1645.7622,1153.4867
641.7861,8527.03,1639.1422,1145.6067
642.2328,8565.35,1652.7222,1151.8067
642.6795,8514.03,1651.2622,1144.5067
643.1262,8499.23,1650.7622,1143.3067
643.5729,8489.91,1647.2222,1134.8467
644.0196,8463.49,1651.1422,1129.6267
644.4662,8483.63,1662.6022,1133.4467
644.9128,8451.21,1651.6622,1123.6467
645.3594,8514.23,1670.0822,1126.3667
645.806,8500.81,1672.2222,1126.8267
646.2525,8490.23,1672.7222,1120.2267
646.699,8475.31,1672.6822,1120.8067
647.1455,8445.49,1682.7022,1111.6467
647.5919,8406.05,1669.4022,1105.5067
648.0384,8423.87,1673.7422,1107.2867
648.4848,8416.67,1673.0622,1100.9867
648.9312,8457.67,1695.1822,1104.1867
649.3775,8471.29,1709.8022,1111.8467
649.8239,8418.13,1694.8422,1099.8067
650.2702,8443.13,1699.5222,1091.9867
650.7165,8464.99,1719.1822,1103.8867
651.1627,8473.61,1721.8022,1102.2467
651.609,8645.53,1756.9822,1111.7067
652.0552,9960.51,2020.3022,1266.8067
652.5013,11126.73,2250.8422,1411.3267
652.9475,12817.99,2542.7022,1566.7467
653.3937,15362.01,3641.1022,2194.3067
653.8398,15362.01,3666.4822,2297.2867
654.2859,9729.01,2085.2622,1320.8667
654.7319,8629.97,1800.7422,1114.5467
655.178,8391.77,1751.7422,1078.5467
655.624,8379.01,1752.2422,1076.2267
656.07,8308.69,1740.1822,1064.5667
656.5159,8255.79,1731.1022,1055.8667
656.9619,8220.55,1738.4822,1048.2667
657.4078,8238.47,1747.2622,1048.4667
657.8537,8239.67,1735.0622,1043.9267
658.2995,8199.01,1747.7822,1039.4867
658.7454,8136.73,1741.7622,1036.2067
659.1912,8197.31,1757.7222,1042.6267
659.637,8160.55,1747.6822,1029.8067
660.0828,8100.01,1748.3022,1025.9667
660.5285,8136.99,1760.4422,1028.8867
660.9742,8120.51,1762.5622,1029.7667
661.4199,8077.15,1750.6222,1019.5267
661.8656,8052.55,1759.8822,1016.5667
662.3112,8063.21,1770.6822,1018.7667
662.7569,8067.01,1759.8422,1004.2467
663.2025,8044.43,1772.5422,1010.2267
663.648,8012.89,1774.7822,1007.5067
664.0936,7991.47,1771.9622,999.8067
664.5391,7992.27,1770.7822,994.4467
664.9846,7972.29,1786.8022,995.2467
665.4301,7990.21,1793.9422,998.9467
665.8755,7936.53,1786.8022,987.5667
666.3209,7924.67,1784.0822,986.5867
666.7663,7913.97,1791.0622,986.8467
667.2117,7884.15,1788.7022,982.2467
667.6571,7868.83,1782.6622,975.0667
668.1024,7878.65,1806.6422,983.0667
668.5477,7832.83,1799.6822,976.2067
668.993,7878.65,1806.3822,977.8667
669.4382,7841.55,1804.2022,967.1067
669.8834,7837.93,1815.5222,975.9867
670.3287,7855.83,1820.7622,970.3867
670.7738,7745.09,1794.1822,953.0867
671.219,7755.45,1817.1822,954.3267
671.6641,7767.09,1817.3022,961.9067
672.1092,7710.27,1807.5422,947.5867
672.5543,7676.09,1801.0222,939.6467
672.9993,7676.47,1814.4622,946.1067
673.4444,7678.93,1817.6622,943.7467
673.8894,7644.29,1807.4022,933.0067
674.3344,7562.19,1802.7022,928.9467
674.7793,7600.41,1820.5022,943.7267
675.2242,7548.81,1813.4422,929.1067
675.6691,7597.31,1820.4422,932.7667
676.114,7578.13,1823.6022,927.1067
676.5589,7517.21,1815.2222,927.6267
677.0037,7502.07,1820.3622,921.9467
677.4485,7496.81,1817.4622,914.4867
677.8933,7465.13,1823.0822,912.7467
678.3381,7464.21,1821.4222,913.4067
678.7828,7404.51,1817.6022,906.2667
679.2275,7402.51,1824.2422,906.1267
679.6722,7384.31,1830.8822,904.4467
680.1168,7317.15,1813.6022,896.2467
680.5615,7328.31,1815.0622,891.4467
681.0061,7312.39,1833.8422,897.7067
681.4507,7363.61,1842.9022,903.4467
681.8952,7298.15,1818.0822,886.3067
682.3398,7296.67,1830.5822,894.8067
682.7843,7270.69,1830.3022,895.2667
683.2288,7251.07,1835.7622,885.2667
683.6732,7239.71,1832.0822,881.4467
684.1177,7206.81,1829.2622,876.6867
684.5621,7128.57,1824.1622,876.6267
685.0065,7152.27,1835.3222,874.2467
685.4508,7100.15,1823.1022,863.4867
685.8952,7068.05,1818.7622,871.4667
686.3395,7096.69,1833.1222,882.0267
686.7838,7035.39,1809.8622,853.2267
687.228,7025.21,1817.9822,863.0067
687.6723,7024.55,1826.8222,857.8467
688.1165,6987.01,1810.3622,854.5467
688.5607,6976.11,1818.1622,857.7667
689.0048,7002.87,1839.4422,857.0467
689.449,6979.21,1825.9822,852.9267
689.8931,6932.99,1818.1022,841.4667
690.3372,6913.03,1830.7422,842.7867
690.7812,6874.69,1814.8422,840.7067
691.2253,6841.29,1817.0022,835.2667
691.6693,6824.63,1806.3022,832.7267
692.1133,6778.85,1804.8022,832.7667
692.5573,6778.65,1803.3222,838.5667
693.0012,6784.53,1807.1422,830.8467
693.4451,6758.63,1815.3822,821.2867
693.889,6722.75,1806.4222,827.8067
694.3329,6723.83,1812.6822,829.4267
694.7767,6759.99,1818.8422,829.3667
695.2205,6706.89,1817.2822,822.6467
695.6643,6664.39,1810.4622,824.5667
696.1081,6660.55,1803.8822,814.9667
696.5518,6632.77,1802.3222,811.2467
696.9956,6608.83,1806.2822,822.0467
697.4392,6573.91,1807.9022,818.6667
697.8829,6557.89,1791.8222,811.5267
698.3266,6543.29,1789.7622,803.8067
698.7702,6485.45,1788.1822,806.5867
699.2138,6517.47,1802.1422,812.1067
699.6573,6514.61,1791.7222,803.6267
700.1009,6520.75,1806.4422,813.2667
700.5444,6498.63,1804.9022,806.2467
700.9879,6482.47,1794.3022,799.3267
701.4314,6466.19,1801.6422,808.2267
701.8748,6523.97,1821.5022,817.2467
702.3182,6523.55,1817.8622,818.5267
702.7616,6398.97,1778.1222,794.9667
703.205,6166.67,1737.1822,779.3267
703.6484,5953.47,1671.0422,751.3267
704.0917,5853.65,1644.6422,735.6667
704.535,5943.09,1673.6822,744.7467
704.9783,6092.31,1719.9222,767.0267
705.4215,6256.97,1768.6822,788.9267
705.8647,6374.83,1790.4022,798.1067
706.3079,6355.13,1799.5222,803.1867
706.7511,6237.23,1773.3022,788.9867
707.1942,6197.73,1758.6022,786.2867
707.6374,6174.83,1751.6222,777.2467
708.0805,6136.89,1755.7422,777.4867
708.5235,6077.65,1736.2222,773.6467
708.9666,6071.81,1728.7222,773.7467
709.4096,6039.59,1733.1622,771.8867
709.8526,6089.79,1757.6822,779.9467
710.2956,6085.79,1752.0022,780.8867
710.7385,6078.11,1733.3022,774.4867
711.1815,6049.65,1740.9022,777.3267
711.6244,6055.13,1740.2222,782.1667
712.0672,5962.11,1706.8822,766.3667
712.5101,5967.31,1723.9622,763.9667
712.9529,5910.01,1710.2022,765.2467
713.3957,5881.03,1705.2222,760.1467
713.8385,5842.21,1679.9622,750.6667
714.2813,5817.25,1692.4822,753.9667
714.724,5802.79,1690.7222,753.7467
715.1667,5763.81,1669.1422,737.6467
715.6094,5747.07,1668.0022,739.9267
716.052,5699.25,1660.6222,741.2467
716.4946,5696.03,1657.4422,747.6867
716.9372,5644.31,1641.5422,739.1467
717.3798,5629.01,1641.3422,737.1267
717.8224,5571.01,1633.9222,740.0067
718.2649,5556.73,1629.5222,726.3867
718.7074,5535.41,1610.9622,721.2067
719.1499,5497.57,1607.6622,724.3867
719.5923,5440.23,1603.6822,725.7867
720.0348,5458.59,1594.1622,717.6267
720.4772,5412.43,1590.2622,713.5667
720.9195,5387.19,1592.2022,724.4067
721.3619,5391.87,1586.1022,716.9467
721.8042,5372.65,1581.7622,706.5667
722.2465,5337.03,1572.1222,708.7467
722.6888,5337.01,1578.0422,711.2267
723.1311,5351.35,1575.0822,714.1067
723.5733,5295.01,1561.9022,705.3067
724.0155,5298.03,1568.5622,712.2867
724.4577,5278.59,1571.3622,710.0267
724.8998,5277.43,1562.9422,707.4267
725.342,5226.43,1555.5022,709.3067
725.7841,5245.57,1564.8622,714.1867
726.2262,5269.83,1568.2422,714.2867
726.6682,5215.73,1549.3822,708.9867
727.1102,5239.15,1554.9622,713.8467
727.5523,5212.31,1552.5222,718.5867
727.9942,5181.81,1544.3022,707.4467
728.4362,5203.89,1552.1022,709.0067
728.8781,5194.83,1559.4822,716.8867
729.32,5161.27,1541.1222,709.7667
729.7619,5160.55,1529.5422,704.8667
730.2038,5133.65,1535.7622,703.9267
730.6456,5126.03,1536.3622,714.9067
731.0874,5144.81,1530.9422,711.2267
731.5292,5122.49,1535.4222,710.4267
731.9709,5133.99,1538.0222,718.4667
732.4127,5083.51,1529.3622,714.6267
732.8544,5063.35,1509.2822,709.6867
733.2961,5048.25,1509.2622,708.4867
733.7377,5000.03,1506.3622,702.6267
734.1794,5010.43,1495.8622,703.9267
734.621,5008.41,1498.6422,701.0867
735.0626,4976.15,1498.0222,704.1267
735.5041,4923.93,1485.4622,698.8267
735.9456,4902.27,1472.3022,692.7667
736.3872,4896.05,1477.2622,695.1067
736.8286,4890.81,1475.9022,699.2667
737.2701,4862.51,1475.1422,693.3467
737.7115,4829.99,1455.7822,692.2467
738.1529,4771.59,1451.7022,687.0467
738.5943,4770.95,1446.1222,689.5067
739.0357,4738.89,1435.2222,685.6067
739.477,4739.89,1433.0622,684.0667
739.9183,4717.01,1435.2222,687.7467
740.3596,4708.39,1423.0422,683.8667
740.8009,4693.47,1418.8022,675.5667
741.2421,4653.57,1417.1622,677.2467
741.6833,4626.13,1408.2422,673.8467
742.1245,4644.93,1403.3022,675.8667
742.5657,4638.95,1395.8822,681.6667
743.0068,4621.09,1403.8822,677.8067
743.4479,4600.61,1395.6822,677.4867
743.889,4582.07,1389.4022,674.2067
744.33,4542.81,1381.6222,669.7267
744.7711,4575.73,1394.4022,679.9067
745.2121,4560.89,1387.7822,680.8067
745.6531,4512.57,1369.2822,669.7667
746.094,4504.83,1377.0822,674.3467
746.535,4488.79,1374.5822,675.2867
746.9759,4499.85,1365.1022,674.3667
747.4168,4489.19,1375.0822,675.2267
747.8576,4452.37,1365.1422,673.7267
748.2985,4429.21,1357.3022,667.6267
748.7393,4427.91,1351.4622,667.1867
749.1801,4400.45,1344.4422,667.7267
749.6208,4384.99,1347.9822,671.2067
750.0616,4350.13,1324.5022,658.9267
750.5023,4338.31,1322.7222,657.3267
750.943,4324.15,1330.6022,658.4867
751.3836,4301.51,1320.3822,659.6867
751.8242,4305.71,1320.0022,660.5867
752.2649,4268.89,1322.7822,655.9667
752.7054,4273.87,1309.4822,658.4267
753.146,4258.61,1302.6822,651.3667
753.5865,4273.35,1308.8422,654.3467
754.0271,4256.69,1315.6822,661.3467
754.4675,4253.67,1321.6222,659.9267
754.908,4230.89,1302.3022,657.2067
755.3484,4240.01,1298.9622,662.8267
755.7888,4202.51,1293.6022,657.2667
756.2292,4151.23,1282.0022,656.1867
756.6696,4151.33,1279.2222,650.9667
757.1099,4125.51,1274.3422,648.5667
757.5502,4135.63,1274.1022,647.0267
757.9905,4122.55,1266.3022,645.5067
758.4308,4113.93,1267.3022,649.0067
758.871,4052.15,1252.3222,645.7867
759.3112,4041.55,1250.0222,637.4867
759.7514,3989.61,1225.8022,626.8467
760.1916,3970.79,1225.3622,633.0867
760.6317,3970.09,1233.4822,631.2867
761.0718,3958.41,1221.2022,632.9067
761.5119,3947.09,1214.2022,625.8867
761.952,3952.31,1222.9022,625.8467
762.392,3967.37,1230.7222,639.9667
762.832,3947.25,1212.7222,632.0467
763.272,3887.45,1206.4422,627.4067
763.712,3852.11,1192.8022,625.9067
764.1519,3820.81,1182.7022,618.7867
764.5918,3793.95,1176.6422,619.3267
765.0317,3762.85,1169.2622,614.2667
765.4716,3794.21,1180.1822,613.2467
765.9114,3777.47,1162.4022,611.5267
766.3512,3763.35,1163.5822,609.4667
766.791,3753.51,1169.6622,611.3067
767.2308,3713.61,1154.4022,608.0467
767.6705,3685.67,1136.6022,605.0667
768.1102,3689.71,1144.9422,608.1867
768.5499,3701.95,1147.6222,612.7467
768.9896,3643.27,1128.1422,601.6067
769.4292,3622.37,1118.7422,597.0067
769.8688,3576.59,1117.9222,595.3467
770.3084,3571.97,1111.2822,599.5667
770.748,3558.41,1100.3822,591.5067
771.1875,3519.11,1094.7822,589.9267
771.627,3507.29,1093.7222,590.4867
772.0665,3489.85,1085.0222,581.4067
772.506,3476.23,1074.2022,581.9067
772.9454,3430.39,1073.4822,581.9067
773.3848,3435.13,1068.8022,584.1667
773.8242,3396.77,1051.8822,570.1667
774.2636,3394.95,1053.6422,569.7467
774.7029,3365.85,1050.4422,571.6067
775.1422,3375.67,1047.2422,570.1467
775.5815,3344.31,1038.5822,565.1267
776.0207,3345.83,1041.5422,567.0467
776.46,3340.43,1034.7022,568.8067
776.8992,3318.29,1025.8022,562.4267
777.3384,3298.65,1029.0622,567.5067
777.7775,3269.47,1013.9622,562.0667
778.2167,3264.07,1016.6622,560.7667
778.6558,3271.13,1008.6822,556.6467
779.0949,3239.29,1006.6422,555.7667
779.5339,3224.77,1004.5022,550.2867
779.973,3198.87,991.2422,549.8867
780.412,3174.17,984.9022,544.4067
780.851,3173.57,986.8422,546.3667
781.2899,3158.25,977.9622,547.0267
781.7289,3139.21,969.3222,542.4867
782.1678,3111.33,955.8222,536.3467
782.6067,3076.93,958.4822,538.2867
783.0455,3089.71,955.3822,541.1467
783.4844,3075.45,947.2822,529.2867
783.9232,3044.25,938.3622,531.2067
784.3619,3037.49,938.4222,533.7867
784.8007,3035.85,930.3422,530.3267
785.2394,3031.01,933.4422,528.7667
785.6781,3003.51,934.6422,526.3267
786.1168,2985.93,925.0622,527.7467
786.5555,2970.91,913.3822,522.8067
786.9941,2949.21,909.9822,521.5067
787.4327,2914.41,903.7622,520.5067
787.8713,2903.33,896.1422,510.5467
788.3099,2880.05,886.1622,510.2067
788.7484,2868.09,890.8022,508.0267
789.1869,2848.97,877.3822,507.6667
789.6254,2845.93,867.1822,505.8667
790.0639,2829.33,865.8222,500.9267
790.5023,2815.63,870.4422,504.1667
790.9407,2804.25,868.0422,495.9067
791.3791,2820.61,864.9422,500.5467
791.8175,2804.45,874.2022,501.6267
792.2558,2800.79,861.0022,502.2467
792.6941,2788.55,853.8422,492.3067
793.1324,2755.57,845.6622,492.6467
793.5706,2722.83,841.0022,493.0267
794.0089,2702.57,834.4822,490.3267
794.4471,2689.43,822.5622,481.9867
794.8853,2671.61,826.7222,478.3267
795.3234,2669.11,829.5022,482.7467
795.7615,2648.91,820.7822,483.7867
796.1997,2637.29,805.8822,473.4267
796.6377,2613.13,812.1222,475.9267
797.0758,2611.59,808.5022,475.3867
797.5138,2608.67,793.4422,468.5867
797.9518,2585.27,791.9622,465.3067
798.3898,2571.37,794.3422,468.7267
798.8278,2539.69,785.8022,461.5667
799.2657,2555.07,785.0222,461.3067
799.7036,2514.89,781.6022,459.9867
800.1415,2504.03,776.8022,454.7467
800.5793,2498.93,771.8622,454.9467
801.0172,2480.79,763.6422,450.7267
801.455,2472.91,765.8822,453.5467
801.8928,2465.01,765.0622,450.7667
802.3305,2444.79,751.7622,446.0867
802.7683,2438.85,754.7622,454.2067
803.206,2438.03,758.6422,451.2067
803.6436,2432.99,757.4622,446.6667
804.0813,2410.35,740.2422,440.9267
804.5189,2406.31,750.6822,444.6267
804.9565,2384.95,743.9622,443.8867
805.3941,2365.67,735.9222,436.7267
805.8317,2346.81,727.1022,433.8267
806.2692,2347.57,729.0622,436.1467
806.7067,2339.03,724.9022,425.9667
807.1442,2318.91,710.1822,423.5467
807.5816,2299.43,716.9622,427.0867
808.0191,2302.59,712.8422,426.6467
808.4565,2287.19,705.8622,421.2467
808.8938,2255.83,705.9222,413.9867
809.3312,2253.45,710.2622,421.6067
809.7685,2233.71,702.3222,415.0467
810.2058,2219.31,689.7622,408.3467
810.6431,2207.35,697.4222,412.1267
811.0804,2207.77,696.9622,414.7267
811.5176,2201.53,689.4822,411.0467
811.9548,2186.39,683.2622,402.0667
812.392,2166.61,686.0422,408.5067
812.8291,2159.87,682.4222,407.5867
813.2662,2136.17,666.5222,393.3867
813.7033,2126.37,668.7022,390.3867
814.1404,2128.85,673.6622,398.7467
814.5775,2118.21,667.2622,396.8267
