Wavelength,I(0),I(KBr),I(KI)
264.9868,5.23,-2.7178,3.1667
265.4533,6.57,5.1822,-1.4333
265.9198,8.79,5.4222,5.7267
266.3862,1.39,-4.1178,4.8067
266.8527,8.01,3.7422,2.4667
267.3191,5.61,6.3822,1.4267
267.7855,9.23,2.6622,6.0267
268.2518,4.77,-1.3578,4.6467
268.7181,8.37,8.8222,4.6067
269.1845,14.25,7.8422,7.2267
269.6508,3.03,-2.2978,5.5067
270.117,6.69,-1.5178,1.3467
270.5833,6.05,6.2622,5.6667
271.0495,13.45,5.8022,8.3867
271.5157,6.79,-2.8778,3.3267
271.9819,4.69,-0.2978,0.7667
272.448,3.67,4.0422,3.2067
272.9141,8.03,0.5822,4.6867
273.3802,9.29,-0.6378,0.9867
273.8463,7.37,3.5622,0.2267
274.3124,8.01,7.1022,8.9267
274.7784,7.11,-1.5178,5.9667
275.2444,4.49,2.1222,-0.2733
275.7104,8.07,8.9822,5.7467
276.1764,11.29,9.2622,6.9467
276.6423,6.03,-1.6178,1.5267
277.1082,8.23,5.3622,-1.1933
277.5741,9.63,6.0022,3.4467
278.04,8.39,2.6422,8.6667
278.5058,12.21,4.5422,5.6067
278.9717,8.95,4.6622,3.6467
279.4375,7.01,0.3222,6.4667
279.9032,4.11,-0.7378,3.5467
280.369,12.03,4.5622,3.8667
280.8347,11.31,8.1422,7.3667
281.3004,13.95,3.6822,9.3867
281.7661,7.51,-0.5378,2.4067
282.2318,6.07,8.4022,2.8267
282.6974,12.53,5.4222,2.3867
283.163,6.03,0.5422,6.1267
283.6286,8.53,-1.0778,-2.5733
284.0942,10.55,9.0622,5.6067
284.5597,8.77,5.0222,6.0667
285.0252,5.79,-5.0778,1.8067
285.4907,9.67,5.1822,-0.3533
285.9562,9.87,8.0022,3.0267
286.4217,10.03,-0.0578,7.6067
286.8871,8.01,1.9222,-0.0333
287.3525,7.11,3.1222,0.8267
287.8179,11.13,4.6622,7.1667
288.2832,8.81,-1.7378,2.3067
288.7486,10.89,1.5022,2.6867
