Wavelength,I(0),I(NaCl),I(KCl)
261.254,7.9722,4.2093,1.4852
261.7206,3.6722,2.1093,-1.3148
262.1873,4.2389,2.3426,0.8852
262.654,9.2056,5.4093,1.3185
263.1206,2.1389,-0.8907,1.7519
263.5872,5.3722,5.6093,-1.2148
264.0537,7.5722,1.5426,4.4185
264.5203,2.8056,2.3426,4.3519
264.9868,4.4722,1.0759,-2.2815
265.4533,4.3056,3.7426,5.6519
265.9198,3.3722,0.0426,3.6185
266.3862,6.0722,-0.7907,-1.1481
266.8527,5.0722,3.1426,5.0185
267.3191,3.0722,4.3093,3.5185
267.7855,1.3389,3.2093,3.3852
268.2518,4.6389,5.5759,-0.4481
268.7181,16.1056,6.2426,7.4519
269.1845,7.4389,7.0093,3.9185
269.6508,8.6389,0.0093,0.2519
270.117,6.5389,1.0759,-0.5481
270.5833,4.0056,7.1426,1.2519
271.0495,5.3722,1.0093,2.8519
271.5157,3.6722,3.1759,0.4852
271.9819,4.5056,4.0426,9.4185
272.448,3.3389,-1.3241,2.9852
272.9141,5.8722,1.9426,2.9852
273.3802,7.8389,2.6093,5.6185
273.8463,6.0389,7.3093,4.9519
274.3124,4.7389,2.8426,1.8519
274.7784,2.1389,2.0093,-0.4481
275.2444,3.3056,2.8093,5.5185
275.7104,8.0389,5.9759,1.0185
276.1764,12.6722,9.6426,0.8852
276.6423,7.8722,7.3426,2.6519
277.1082,9.4722,1.1759,7.2852
277.5741,5.6056,2.8426,2.6185
278.04,10.9722,2.9093,-0.0481
278.5058,10.2389,1.4426,3.9852
278.9717,3.9389,4.9093,7.9519
279.4375,4.6056,4.9093,2.9852
279.9032,11.2056,3.6759,0.3519
280.369,9.9389,9.5093,4.4519
280.8347,3.0389,3.5759,2.4185
281.3004,9.4056,3.4426,2.9185
281.7661,5.8056,0.8093,2.5185
282.2318,7.9056,4.4093,2.5185
282.6974,8.6056,1.1093,3.5185
283.163,5.9389,0.6759,-2.4148
283.6286,3.4722,3.1426,5.2519
284.0942,8.5056,4.1759,2.0185
284.5597,5.2056,3.1426,3.5519
285.0252,5.7389,3.1426,-0.6148
285.4907,10.7389,2.7426,5.6185
285.9562,2.3389,2.8426,6.5519
286.4217,9.5389,0.1093,0.5185
286.8871,10.5722,2.6093,3.1852
287.3525,8.7722,4.4426,1.7852
287.8179,6.3389,5.1093,-0.7815
288.2832,7.6722,3.2759,-3.4148
288.7486,12.2389,0.6759,5.9519
289.2139,5.7722,4.9093,7.1519
289.6792,7.6056,5.0093,0.8852
290.1444,15.6722,-0.1241,3.5185
290.6097,3.3722,2.1759,0.6519
291.0749,7.7389,5.9426,6.6852
291.5401,5.8389,3.0093,1.8185
292.0052,12.5056,4.9759,6.2185
292.4704,10.3722,5.9759,5.3519
292.9355,9.0722,5.4759,7.3185
293.4006,11.1056,8.1093,0.0852
293.8657,13.2056,5.5759,3.7852
294.3307,9.0389,5.3426,6.0519
294.7958,10.4389,4.4759,-0.4481
295.2608,14.7722,4.8426,5.2185
295.7258,9.6389,7.0759,2.4852
296.1907,7.8389,3.6759,6.0852
296.6557,11.3722,7.6426,0.4519
297.1206,15.0056,10.5426,6.0519
297.5855,7.1389,6.7759,5.5185
298.0503,9.2056,5.3426,-1.8148
298.5152,17.0722,6.9426,0.3519
298.98,12.9056,3.7426,4.8852
299.4448,5.1722,2.8426,5.4185
299.9095,7.1056,-1.3907,0.8185
300.3743,10.9056,6.2093,6.3852
300.839,10.1722,7.5093,5.5519
301.3037,14.1389,6.9759,0.2185
301.7684,17.0056,6.3093,4.9852
302.2331,8.5389,0.7426,8.9519
302.6977,10.9056,6.5759,3.8852
303.1623,12.7389,2.2759,-3.6481
303.6269,12.2722,9.8093,2.7519
304.0914,7.3722,5.4426,3.6852
304.556,11.8722,2.1426,6.0519
305.0205,17.0056,6.3426,-3.6148
305.485,14.5722,6.0759,6.6519
305.9494,11.0056,9.8759,3.8519
306.4139,11.1056,4.4426,3.3185
306.8783,12.0722,6.1426,8.2852
307.3427,9.4056,5.7426,7.3852
307.8071,9.9056,4.3093,3.0519
308.2714,9.5722,5.2426,-0.7148
308.7358,14.6389,4.5759,10.5185
309.2001,13.9389,5.6426,3.0185
309.6643,17.4389,5.7759,-1.5148
310.1286,25.0722,13.6426,3.7519
310.5928,12.0722,8.0426,16.8519
311.057,8.8389,5.7093,2.0519
311.5212,13.3056,0.9759,0.4852
311.9854,15.4722,6.1426,8.6185
312.4495,11.3389,3.6093,1.6185
312.9136,14.7722,3.4093,2.3185
313.3777,15.3056,7.4759,5.6852
313.8418,13.7389,7.0426,4.0852
314.3059,16.6056,6.8093,3.5519
314.7699,14.4389,10.6759,-3.7815
315.2339,17.5056,6.3093,3.6852
315.6978,13.4722,8.7759,4.4852
316.1618,14.7056,6.2093,4.7185
316.6257,15.1056,10.0426,1.2519
317.0896,12.5389,8.6759,6.8519
317.5535,15.1389,2.2759,7.0519
318.0174,13.8389,4.4759,-0.7148
318.4812,14.5722,6.9426,5.6519
318.945,10.0722,1.7426,-1.7481
319.4088,15.6056,5.4759,3.2852
319.8726,15.3056,7.6759,-1.6815
320.3363,19.8389,7.7093,7.3852
320.8,14.5389,9.3093,1.1185
321.2637,14.3722,8.7093,3.4519
321.7274,18.5722,8.0759,2.4185
322.191,18.9056,6.8426,1.0185
322.6547,14.6056,7.8426,3.5852
323.1183,16.6389,9.7426,-2.6148
323.5818,19.7056,7.5093,8.7519
324.0454,14.1722,7.7426,4.0852
324.5089,20.4056,11.6093,4.0519
324.9724,18.3722,7.3426,5.0852
325.4359,14.2389,8.4759,6.1519
325.8994,23.9722,13.2426,5.7852
326.3628,19.7722,4.7426,2.6185
326.8262,19.1389,8.0093,5.8185
327.2896,15.4722,4.5426,-1.5815
327.753,20.1056,5.7426,4.6185
328.2163,19.9056,7.1093,1.8852
328.6796,15.5722,8.4093,4.4852
329.1429,18.4056,10.3426,5.6852
329.6062,16.8056,2.8093,6.7852
330.0694,24.4389,10.3759,0.0852
330.5326,19.2389,11.9759,4.6852
330.9958,17.3389,8.7093,6.5852
331.459,18.6389,4.9426,-3.5148
331.9222,17.2056,7.1426,7.4852
332.3853,13.9389,7.7759,3.7852
332.8484,19.1056,6.7759,1.1519
333.3115,23.8389,9.6759,1.5852
333.7746,25.4389,7.9093,3.1519
334.2376,19.2056,7.9426,9.1852
334.7006,21.2056,7.3426,-4.2148
335.1636,20.0722,9.2093,3.0852
335.6265,19.3722,5.8759,4.0852
336.0895,27.2389,6.8759,7.3519
336.5524,20.6056,7.4093,0.8185
337.0153,20.4722,8.4759,8.5852
337.4782,23.0722,10.3759,11.2852
337.941,21.8056,8.1759,1.2519
338.4038,23.6389,9.3093,5.7519
338.8666,17.8056,7.0093,2.5185
339.3294,22.0722,6.4759,5.9185
339.7922,25.6722,9.6759,-4.5815
340.2549,22.7389,10.1426,6.5185
340.7176,25.4056,12.0759,2.9185
341.1803,25.7056,5.1759,3.1852
341.6429,24.6722,7.8093,1.3185
342.1056,24.9056,10.8759,4.9852
342.5682,30.5389,18.0426,1.6185
343.0308,25.6722,4.9093,1.5185
343.4933,27.5389,6.8759,5.1519
343.9559,25.7722,7.5426,1.7519
344.4184,27.7389,11.8759,1.1519
344.8809,28.3056,7.7093,1.7852
345.3434,28.5722,10.1759,4.9519
345.8058,30.4722,8.5426,8.4519
346.2682,27.5389,4.7426,-0.2148
346.7306,33.1722,11.1426,4.3519
347.193,22.5722,10.0426,6.1185
347.6554,31.0389,6.3426,3.0185
348.1177,29.2389,5.1426,-1.2481
348.58,29.3056,9.1426,9.2852
349.0423,24.1056,6.9093,5.6185
349.5045,31.5389,10.0093,1.0185
349.9668,33.1722,15.2759,7.8519
350.429,32.9722,9.7093,4.8519
350.8912,26.7056,9.4426,6.6519
351.3533,30.1722,10.9426,-2.3815
351.8155,33.2722,13.2426,8.9185
352.2776,31.6722,11.6426,3.0519
352.7397,30.1722,11.2759,3.1852
353.2018,33.2722,11.6426,7.7519
353.6638,28.4389,12.6759,5.6519
354.1258,35.4056,9.5093,1.8185
354.5878,33.7722,8.7759,0.8185
355.0498,36.4389,13.2426,8.3185
355.5117,31.4389,12.9093,5.1519
355.9737,37.3722,15.4426,8.8519
356.4356,34.0389,12.6093,6.9185
356.8975,34.3722,14.5759,8.4852
357.3593,34.7722,13.1426,9.8185
357.8211,34.9389,10.3759,2.1852
358.283,38.7389,13.4759,6.1519
358.7447,37.0389,11.5093,6.2185
359.2065,38.8389,11.9093,6.8852
359.6682,40.4722,13.1093,-2.9148
360.13,35.2389,11.4426,9.2519
360.5916,36.1722,13.5093,8.4519
361.0533,38.0389,15.0093,7.9519
361.515,43.9722,15.7426,5.7519
361.9766,40.8722,18.6093,9.7185
362.4382,37.4389,10.0426,12.5852
362.8998,37.4722,13.1093,0.4185
363.3613,46.1722,15.8426,10.5519
363.8228,42.7389,16.3426,9.9519
364.2843,40.9056,14.2093,9.0185
364.7458,42.6389,15.7093,5.5519
365.2073,47.2389,12.2093,10.6852
365.6687,43.2389,11.7426,7.0852
366.1301,45.1722,13.7426,2.1185
366.5915,45.7389,16.7093,10.5852
367.0529,45.1722,14.9093,6.2185
367.5142,46.4056,19.5759,9.3185
367.9755,43.4056,15.0426,5.5519
368.4368,44.4056,12.6426,11.0852
368.8981,44.2056,13.3426,9.2185
369.3593,48.6389,16.5093,5.8519
369.8205,46.4389,14.7093,7.7519
370.2817,44.6722,15.3093,10.2519
370.7429,46.7722,13.4093,13.8852
371.204,49.7056,13.1093,2.3852
371.6652,49.7389,15.6426,11.5519
372.1263,49.9722,14.1426,8.3185
372.5873,52.6056,13.0426,11.7519
373.0484,53.6056,13.9426,10.4185
373.5094,53.3056,13.7759,15.0185
373.9704,54.9389,13.7426,12.6185
374.4314,55.2389,13.0426,9.3852
374.8924,58.4722,14.4759,14.5185
375.3533,56.5722,16.9426,10.8519
375.8142,60.8056,14.2759,14.9852
376.2751,54.3056,15.8093,7.0519
376.736,58.6056,16.5093,13.8852
377.1968,60.2722,17.7093,12.6185
377.6576,62.0056,12.3093,7.5519
378.1184,62.5389,15.4093,14.2852
378.5792,59.9389,21.1759,14.8185
379.0399,56.6389,12.9093,17.8185
379.5007,58.2056,13.0759,11.8185
379.9614,60.7056,13.3093,13.7185
380.422,59.9389,16.9093,15.2852
380.8827,59.7389,19.2759,13.4852
381.3433,64.0056,17.3093,16.4185
381.8039,63.2389,17.4093,21.3852
382.2645,62.6389,18.9093,19.0852
382.725,64.6389,14.9759,14.1852
383.1856,69.2389,12.3093,20.1519
383.6461,66.1389,17.0093,20.9185
384.1066,66.5056,14.1759,18.8519
384.567,71.2722,15.3759,18.0185
385.0275,68.1056,16.3759,20.8185
385.4879,75.4389,16.7426,20.6852
385.9483,74.6722,13.6426,17.8852
386.4086,75.9389,14.5093,24.0185
386.869,71.4389,17.5426,18.9852
387.3293,75.7722,15.2426,24.0852
387.7896,80.6056,17.6093,17.8852
388.2499,78.2722,18.0759,25.6519
388.7101,79.1056,21.5093,25.6852
389.1703,82.4056,18.8093,23.5185
389.6306,80.2056,17.1426,29.1852
390.0907,81.5389,19.0426,26.4185
