Wavelength,I(0),I(NaCl),I(KCl)
506.6576,3029.2389,332.1426,682.7852
507.1116,3041.5056,341.1426,690.7519
507.5657,3076.2389,349.2759,703.3185
508.0197,3106.8389,355.1426,710.0519
508.4737,3135.0722,366.0426,720.0519
508.9276,3153.1722,378.1759,729.3519
509.3816,3184.7389,388.8093,750.8852
509.8355,3215.3389,395.7759,760.3185
510.2894,3239.6722,405.6093,776.0852
510.7432,3273.7389,420.8426,792.5519
511.1971,3294.2389,431.4759,802.1519
511.6509,3312.2722,436.0093,817.2185
512.1047,3335.3389,443.5093,825.7185
512.5584,3353.8056,459.5093,847.2519
513.0122,3406.5722,475.9759,863.4185
513.4659,3436.5389,486.0093,878.1185
513.9196,3468.7722,493.3759,897.2185
514.3733,3489.3722,504.1426,916.3852
514.8269,3504.4056,516.7759,941.1519
515.2805,3561.3056,535.3759,954.8519
515.7341,3560.2056,543.9093,977.4185
516.1877,3596.3389,560.1759,990.8185
516.6412,3647.3389,562.4759,1013.5185
517.0948,3667.2389,580.9093,1036.2519
517.5483,3656.5056,590.2093,1055.8185
518.0017,3712.6389,602.6426,1068.5519
518.4552,3731.7389,618.6759,1090.9852
518.9086,3773.0389,631.9093,1116.6185
519.362,3794.2722,647.1759,1148.3519
519.8154,3845.0722,657.2093,1159.7185
520.2688,3866.2722,677.0093,1179.7852
520.7221,3897.1389,683.3093,1200.1519
521.1754,3937.7389,694.2759,1226.9519
521.6287,3948.8722,709.9759,1245.7519
522.082,3966.0056,731.8426,1263.3185
522.5352,4021.9722,742.9093,1285.5185
522.9884,4039.5722,756.8093,1315.7852
523.4416,4053.5389,769.1759,1333.6852
523.8947,4094.5389,784.2759,1358.8852
524.3479,4147.1722,796.3426,1378.0519
524.801,4131.4389,813.9093,1407.6519
525.2541,4157.2056,819.9426,1415.7519
525.7072,4208.4722,841.2759,1440.6519
526.1602,4233.1056,854.2426,1465.8185
526.6132,4277.0722,860.6426,1491.7519
527.0662,4295.4389,876.7093,1516.7519
527.5192,4298.6056,887.3759,1532.0852
527.9721,4317.9722,907.1093,1548.9519
528.425,4345.4056,915.5093,1569.6185
528.8779,4372.1722,929.0426,1582.6519
529.3308,4437.9389,955.1093,1612.2185
529.7837,4423.4389,964.3759,1630.0519
530.2365,4482.7389,978.3426,1645.0852
530.6893,4530.3389,997.1093,1667.1519
531.1421,4548.4722,1010.6426,1710.5852
531.5948,4559.5056,1022.2093,1714.1852
532.0475,4602.5056,1042.3093,1733.1185
532.5002,4571.9056,1046.0093,1766.6852
532.9529,4642.2722,1064.0093,1754.1519
533.4056,4657.5056,1083.7426,1788.9519
533.8582,4680.2389,1091.9093,1801.9519
534.3108,4674.5722,1100.0759,1819.9519
534.7634,4722.5056,1111.3426,1830.1852
535.216,4760.2389,1132.7759,1858.8519
535.6685,4801.7722,1150.6426,1875.2519
536.121,4840.5389,1169.5426,1899.9852
536.5735,4878.1722,1182.1093,1925.5185
537.0259,4857.1389,1190.9759,1942.2519
537.4784,4914.6389,1205.9426,1956.2185
537.9308,4924.9056,1218.7093,1968.6519
538.3832,4948.8056,1231.1759,1991.2852
538.8355,5016.5056,1254.9093,2016.8519
539.2879,5024.0056,1265.5426,2042.2852
539.7402,5042.3389,1279.8759,2054.3185
540.1925,5097.7389,1288.6426,2077.5519
540.6448,5100.7056,1307.8759,2086.8852
541.097,5121.4056,1312.4759,2092.4185
541.5492,5177.4056,1333.6093,2107.3185
542.0014,5209.5389,1357.1759,2145.7519
542.4536,5228.0389,1375.0759,2157.4519
542.9057,5302.7722,1395.8426,2168.5519
543.3579,5289.5389,1398.9426,2214.8185
543.81,5350.2389,1414.1426,2221.3185
544.262,5332.3389,1420.2759,2245.5852
544.7141,5409.7389,1449.8426,2234.0519
545.1661,5403.7722,1459.2426,2258.7852
545.6181,5425.4722,1464.6426,2280.6519
546.0701,5479.2389,1486.2759,2280.2852
546.522,5447.6722,1480.0093,2314.2185
546.974,5497.4722,1496.3426,2311.4519
547.4259,5519.3056,1508.7759,2327.6519
547.8777,5540.0722,1521.7759,2333.4852
548.3296,5591.4056,1536.5426,2354.1185
548.7814,5593.1056,1553.9093,2378.8519
549.2332,5651.8722,1576.4093,2390.7519
549.685,5700.5722,1588.8426,2423.2519
550.1368,5720.8389,1591.4093,2435.7852
550.5885,5719.6389,1606.7426,2447.9185
551.0402,5752.1056,1619.6093,2460.4852
551.4919,5754.7389,1613.5759,2475.6852
551.9436,5781.9056,1642.6759,2489.0852
552.3952,5825.0056,1651.5759,2492.7185
552.8468,5854.8389,1673.2759,2511.9185
553.2984,5878.7389,1679.9093,2531.4519
553.75,5884.6722,1680.6426,2562.4852
554.2015,5897.0056,1693.1093,2549.9519
554.653,5889.8722,1698.0759,2568.5852
555.1045,5940.9389,1715.5093,2569.5852
555.556,5978.4389,1736.0426,2583.5185
556.0074,6008.2389,1746.8426,2606.5519
556.4588,6014.2389,1756.0426,2636.2852
556.9102,6076.8722,1775.9759,2634.1185
557.3616,6096.9722,1782.7759,2661.6519
557.813,6135.2389,1802.5426,2672.9185
558.2643,6210.6722,1818.6426,2706.3852
558.7156,6182.7722,1826.9093,2730.4852
559.1669,6187.0389,1829.1093,2705.4852
559.6181,6213.6056,1846.9759,2731.1185
560.0693,6252.6056,1851.0759,2737.6185
560.5205,6323.3389,1886.9426,2751.7519
560.9717,6305.8389,1879.1426,2791.0852
561.4229,6322.3389,1888.3093,2792.5852
561.874,6364.0722,1908.9759,2800.9852
562.3251,6388.2056,1923.4759,2815.7519
562.7762,6372.5389,1929.8759,2829.2852
563.2272,6473.5722,1955.7426,2821.1519
563.6782,6462.0722,1958.0759,2858.9852
564.1292,6553.2722,1983.6759,2862.1852
564.5802,6594.7389,2007.6093,2906.3852
565.0312,6660.0722,2022.3093,2935.3185
565.4821,6671.7389,2027.2426,2956.5519
565.933,6728.3389,2046.2426,2980.8519
566.3839,6822.6056,2084.1093,3001.9852
566.8348,6945.3389,2124.3093,3045.9185
567.2856,6996.9722,2157.0426,3103.7519
567.7364,7025.1722,2162.8426,3139.1519
568.1872,7039.9056,2171.3426,3147.7852
568.638,7155.2056,2201.5759,3138.7519
569.0887,7139.9056,2211.1426,3197.5185
569.5394,7176.9056,2221.7759,3200.6185
569.9901,7134.8056,2213.6426,3224.1852
570.4408,7217.0722,2232.2426,3197.2852
570.8914,7401.5722,2292.7426,3238.7519
571.342,7450.3722,2323.0426,3308.1185
571.7926,7482.9722,2329.1759,3350.1185
572.2432,7420.8389,2311.5426,3385.9185
572.6937,7410.7389,2312.7426,3322.0852
573.1443,7366.9722,2304.3426,3339.1519
573.5948,7427.5056,2330.4093,3313.9852
574.0452,7614.5389,2387.0759,3351.6519
574.4957,7677.5389,2418.3759,3418.1852
574.9461,7774.3722,2447.3759,3475.7185
575.3965,7836.6056,2471.7093,3511.6185
575.8469,7688.5389,2427.9093,3531.7519
576.2972,7515.9722,2377.1426,3469.9185
576.7475,7545.9389,2395.6426,3379.3185
577.1978,7655.8722,2423.9759,3411.7852
577.6481,7780.3056,2459.6093,3463.3852
578.0984,7893.9389,2505.9759,3527.0185
578.5486,8055.8389,2568.1426,3582.7185
578.9988,8274.1389,2640.1759,3668.8185
579.449,8117.0056,2581.2426,3765.4519
579.8991,7883.6389,2515.2426,3658.8852
580.3493,7653.9056,2448.4426,3565.0852
580.7994,7552.2722,2419.0759,3455.2185
581.2494,7588.7722,2447.5426,3427.9185
581.6995,7739.6722,2485.3759,3449.6852
582.1495,7861.4056,2521.7759,3523.9519
582.5995,7985.2389,2570.8093,3580.2519
583.0495,7875.2389,2543.1426,3629.9852
583.4995,7816.2722,2519.0426,3580.0185
583.9494,7700.4722,2499.4759,3548.0519
584.3993,7780.5056,2529.0093,3521.3185
584.8492,7869.9722,2548.0426,3544.5852
585.2991,7770.5389,2525.4426,3595.1852
585.7489,7672.1389,2497.3093,3538.3185
586.1987,7639.7722,2492.8093,3497.7185
586.6485,7581.4056,2456.1426,3495.9519
587.0983,7549.9056,2458.7426,3452.4852
587.548,7596.0389,2475.6093,3450.5185
587.9977,7577.7722,2472.9759,3460.8852
588.4474,7572.2722,2481.9426,3450.6185
588.8971,7637.9389,2488.2759,3449.5852
589.3467,7653.3389,2514.3093,3493.8519
589.7963,7799.3056,2563.1426,3498.0519
590.2459,7986.7389,2621.2426,3571.6185
590.6955,7965.8722,2619.8759,3671.4519
591.1451,7870.0389,2584.6093,3646.4519
591.5946,7774.8389,2552.3759,3585.2852
592.0441,7682.6056,2525.0093,3548.3852
592.4935,7858.9056,2602.6093,3521.2519
592.943,7817.5056,2578.4093,3608.9852
593.3924,7725.4389,2555.5426,3573.5852
593.8418,7645.3389,2538.4759,3545.4185
594.2912,7704.2722,2552.1759,3530.2519
594.7405,7745.3056,2579.6759,3538.5519
595.1899,7792.0722,2594.0759,3569.6519
595.6392,7814.6389,2606.5426,3582.1519
596.0884,7926.3722,2655.7093,3588.7519
596.5377,8014.1389,2680.2093,3653.7852
596.9869,7965.5722,2658.6426,3690.3519
597.4361,7958.5389,2664.7759,3674.8852
597.8853,7929.0389,2655.8426,3670.6852
598.3344,7931.0056,2657.1093,3645.2852
598.7836,7905.0722,2660.1426,3653.8185
599.2327,7900.1389,2643.8093,3639.6185
599.6818,7931.5389,2668.9759,3629.6852
600.1308,7956.8722,2681.8759,3655.5519
600.5798,7964.8389,2674.6093,3679.8185
601.0289,8020.4389,2721.9426,3676.3519
601.4778,7896.6389,2680.4426,3722.0519
601.9268,7917.3722,2678.7759,3649.1185
602.3757,7924.6056,2688.4093,3663.8852
602.8246,7954.1722,2708.4426,3650.0852
603.2735,8028.5056,2734.4093,3696.0852
603.7224,8030.1722,2727.8093,3738.0519
604.1712,7951.9389,2699.3426,3702.9185
604.62,7964.6722,2731.3426,3691.0185
605.0688,7965.5389,2723.4759,3713.1519
605.5176,7966.2389,2721.2426,3692.9185
605.9663,7891.6722,2728.4093,3690.3519
606.415,7927.5722,2727.0759,3674.0185
606.8637,7892.0722,2711.4426,3684.1852
607.3124,8014.8389,2768.5426,3660.9519
607.761,8026.5056,2759.3759,3737.5185
608.2097,7989.7722,2767.5426,3715.8519
608.6582,7957.2056,2758.9093,3711.3852
609.1068,7951.7722,2749.4426,3703.0185
609.5554,7942.4722,2753.0759,3706.0185
610.0039,7924.3722,2752.1093,3700.6852
610.4524,7979.3389,2795.7093,3682.2185
610.9008,7948.9722,2776.6759,3726.9185
611.3493,7990.7056,2794.2093,3709.9519
611.7977,7953.5722,2775.7759,3741.1519
612.2461,7954.7056,2793.2759,3708.1519
612.6945,7969.4389,2803.0759,3738.0185
613.1428,8035.1056,2804.7759,3722.0185
613.5911,7937.1722,2773.7759,3745.8852
614.0394,7881.8389,2773.7093,3715.4185
614.4877,7900.3389,2764.1759,3702.4185
614.936,7979.4056,2804.1093,3684.7519
615.3842,7929.8722,2799.9426,3729.2519
615.8324,7869.4722,2776.6759,3718.6185
616.2806,7859.1056,2779.7426,3688.6852
616.7287,7850.5389,2776.4426,3685.1519
617.1768,7825.2722,2766.6093,3688.5852
617.6249,7848.8056,2782.9093,3679.4519
618.073,7835.5056,2777.2759,3690.8852
618.5211,7753.9056,2755.7426,3665.6519
618.9691,7757.8389,2754.0759,3656.1852
619.4171,7856.5056,2785.0759,3656.1852
619.8651,7806.3722,2769.8759,3692.9185
620.313,7817.4722,2779.8759,3660.1185
620.761,7887.2056,2815.6759,3684.3519
621.2089,7823.2722,2782.9093,3702.6852
621.6568,7824.6389,2793.7093,3689.9852
622.1046,7881.5389,2808.0759,3683.9852
622.5525,7818.9722,2788.3759,3710.0185
623.0003,7738.6722,2762.0759,3678.1185
623.448,7758.8722,2775.2426,3642.5852
623.8958,7729.8722,2773.7759,3667.9519
624.3435,7719.3389,2779.0426,3643.7185
624.7912,7792.8389,2797.4759,3656.5852
625.2389,7765.3389,2774.5759,3670.5185
625.6866,7732.3056,2765.4426,3661.5852
626.1342,7700.0722,2763.0093,3629.2519
626.5818,7708.2722,2767.9759,3632.8852
627.0294,7769.5389,2780.7093,3646.7519
627.477,7711.4722,2767.6426,3665.4852
627.9245,7720.3056,2770.3426,3646.9519
628.372,7705.8389,2777.1759,3632.4852
628.8195,7663.5389,2759.6093,3658.5519
629.267,7690.8056,2766.4759,3639.4852
629.7144,7726.7722,2775.6426,3626.9185
630.1619,7658.1722,2752.3093,3656.2519
630.6093,7665.9722,2753.0093,3639.1852
631.0566,7667.9722,2751.6426,3634.4519
631.504,7677.9722,2757.6759,3615.7519
631.9513,7629.5056,2749.3093,3624.4185
632.3986,7614.1389,2727.5426,3627.7519
632.8458,7715.6722,2769.9759,3601.2185
633.2931,7652.4056,2739.0093,3658.6185
633.7403,7669.8389,2743.7093,3630.4852
634.1875,7653.7056,2730.5093,3628.5185
634.6347,7668.6389,2750.6426,3607.8185
635.0818,7663.4056,2748.3093,3641.2185
635.5289,7580.5056,2718.7759,3634.1185
635.976,7639.1389,2737.3426,3613.6852
636.4231,7613.7722,2730.0759,3626.3519
636.8702,7583.5722,2727.4426,3623.9519
637.3172,7573.5056,2711.8093,3619.1185
637.7642,7616.9722,2729.9759,3613.0185
638.2112,7599.4056,2725.3426,3617.2519
638.6581,7571.2056,2702.2426,3611.3852
639.105,7550.7722,2703.5759,3608.5185
639.5519,7573.8056,2699.7426,3580.5185
639.9988,7554.3389,2688.8426,3593.8852
640.4457,7533.7722,2683.8093,3597.5185
640.8925,7558.0389,2687.3426,3566.6519
641.3393,7503.6389,2670.8426,3580.8519
641.7861,7515.9722,2672.9093,3577.4852
642.2328,7549.7389,2677.3093,3590.5185
642.6795,7483.8722,2666.2426,3605.8852
643.1262,7495.4056,2661.1759,3563.3185
643.5729,7476.2056,2643.1093,3576.8519
644.0196,7460.3722,2641.5426,3563.1852
644.4662,7474.9056,2641.9759,3562.5185
644.9128,7447.1389,2637.5426,3568.8852
645.3594,7518.4722,2639.4759,3553.2185
645.806,7503.0056,2627.4759,3567.8519
646.2525,7495.6389,2625.4093,3557.4185
646.699,7472.5389,2629.8093,3571.2185
647.1455,7455.2722,2603.9759,3560.3519
647.5919,7432.7056,2588.8426,3553.4185
648.0384,7429.6056,2598.5093,3540.0519
648.4848,7411.1056,2576.1759,3532.0852
648.9312,7431.0722,2593.6426,3527.3185
649.3775,7445.6722,2592.7759,3555.6852
649.8239,7422.9389,2569.3426,3566.3852
650.2702,7457.2722,2584.8426,3544.1852
650.7165,7444.8722,2576.6426,3552.6519
651.1627,7455.1722,2577.3093,3555.5185
651.609,7554.7722,2600.2093,3564.4852
652.0552,8551.8722,2951.1759,3592.0185
652.5013,9781.9389,3379.7426,4093.5519
652.9475,10875.3056,3804.2426,4748.1852
653.3937,15158.8056,5429.7093,5433.5519
653.8398,15301.0389,5906.0759,7858.6185
654.2859,9116.6056,3118.4426,7916.6852
654.7319,7673.4389,2612.3759,4237.3519
655.178,7423.0389,2518.7759,3641.5852
655.624,7420.8389,2503.5426,3522.5852
656.07,7336.9722,2487.2426,3521.6185
656.5159,7318.2722,2469.3093,3491.0852
656.9619,7259.6722,2455.6426,3465.3852
657.4078,7292.5389,2446.0093,3464.9852
657.8537,7271.6389,2431.1426,3476.6185
658.2995,7248.9056,2427.6093,3472.5852
658.7454,7210.3389,2413.7426,3444.1852
659.1912,7225.0722,2416.0759,3421.9519
659.637,7198.9056,2395.9093,3459.9852
660.0828,7157.4722,2375.8759,3432.6185
660.5285,7188.9722,2385.5759,3427.1519
660.9742,7166.5056,2371.2426,3438.1519
661.4199,7133.5389,2344.9426,3407.5185
661.8656,7109.7722,2354.5426,3389.8519
662.3112,7126.0056,2350.1426,3402.2185
662.7569,7094.2722,2319.9426,3395.8519
663.2025,7112.8389,2318.6426,3388.7185
663.648,7073.0389,2305.6759,3369.6852
664.0936,7073.8056,2297.3759,3375.3185
664.5391,7061.2056,2288.6093,3357.1852
664.9846,7043.1389,2282.3426,3347.8852
665.4301,7044.4056,2264.2093,3330.5852
665.8755,7018.8722,2255.3759,3357.8852
666.3209,6993.1389,2251.2759,3336.1852
666.7663,6973.7722,2237.6759,3322.7519
667.2117,6960.1389,2233.3759,3328.6852
667.6571,6938.9056,2213.8759,3310.3185
668.1024,6961.4389,2216.4759,3307.2852
668.5477,6921.2389,2202.8093,3309.8185
668.993,6957.0056,2207.7093,3289.7519
669.4382,6921.5722,2187.5093,3303.1519
669.8834,6930.9389,2176.8759,3292.0519
670.3287,6926.9389,2170.2759,3283.2519
670.7738,6813.9056,2136.7093,3289.7519
671.219,6848.5722,2132.0093,3246.8519
671.6641,6838.5056,2111.7426,3264.5185
672.1092,6802.1056,2095.7093,3238.6519
672.5543,6768.3722,2085.2426,3236.8185
672.9993,6776.3056,2071.1759,3211.3185
673.4444,6761.5389,2080.3759,3218.2519
673.8894,6717.6722,2058.7093,3203.2519
674.3344,6667.4722,2035.6426,3197.4519
674.7793,6717.4389,2026.4759,3171.0185
675.2242,6656.6056,2011.8093,3190.9852
675.6691,6704.5056,2025.0093,3169.4519
676.114,6690.0056,2011.7759,3176.3852
676.5589,6609.9389,1986.3093,3163.7519
677.0037,6606.3389,1971.5426,3137.0852
677.4485,6607.9389,1962.3426,3129.8852
677.8933,6573.9389,1944.5759,3121.8185
678.3381,6572.4056,1931.2426,3117.7185
678.7828,6540.8056,1918.6759,3113.0852
679.2275,6556.1056,1909.5759,3094.2185
679.6722,6509.3056,1892.3759,3088.6185
680.1168,6446.3722,1870.0759,3074.2852
680.5615,6463.7389,1871.2759,3045.9519
681.0061,6442.3389,1860.4093,3047.5519
681.4507,6460.4056,1860.7426,3056.3852
681.8952,6443.7722,1837.9093,3062.1519
682.3398,6460.4722,1847.3093,3049.4852
682.7843,6403.6389,1815.9426,3056.8519
683.2288,6384.9722,1798.9093,3030.3185
683.6732,6383.1722,1789.4426,3021.7519
684.1177,6329.3722,1775.8426,3003.4852
684.5621,6274.1389,1751.5426,3005.9519
685.0065,6311.0056,1747.3093,2985.7852
685.4508,6270.0389,1722.3759,2982.8519
685.8952,6246.1722,1717.4759,2963.8519
686.3395,6286.3389,1717.3759,2951.5185
686.7838,6194.9389,1701.4426,2974.3852
687.228,6217.1389,1686.3426,2919.9185
687.6723,6192.0389,1665.5093,2938.4185
688.1165,6156.6056,1649.5426,2918.4185
688.5607,6168.0389,1652.1759,2923.9852
689.0048,6186.2722,1649.2093,2907.1519
689.449,6129.4389,1627.8093,2924.5185
689.8931,6114.1056,1606.1759,2898.4852
690.3372,6095.8056,1596.9759,2876.4519
690.7812,6060.8056,1575.3426,2880.8852
691.2253,6040.3389,1554.1759,2861.5185
691.6693,6016.6056,1548.0759,2847.8519
692.1133,5963.2722,1537.6759,2835.5852
692.5573,5966.3722,1524.3426,2827.2519
693.0012,5964.3389,1510.8426,2810.3185
693.4451,5939.8389,1491.6759,2825.1852
693.889,5909.5389,1486.0426,2802.9185
694.3329,5898.1722,1470.1426,2806.9185
694.7767,5946.8722,1481.6759,2802.6519
695.2205,5905.1056,1463.1759,2804.3185
695.6643,5870.2389,1445.3093,2787.4519
696.1081,5850.4056,1432.9759,2771.7185
696.5518,5841.7056,1416.3093,2757.4519
696.9956,5787.0722,1405.0093,2757.6852
697.4392,5791.4056,1392.6093,2742.7519
697.8829,5761.4722,1377.5426,2741.2519
698.3266,5764.7056,1373.9093,2716.1852
698.7702,5710.5389,1358.9759,2710.7519
699.2138,5736.5389,1354.9093,2688.1852
699.6573,5730.7389,1350.4093,2707.8185
700.1009,5758.4722,1334.7426,2708.1185
700.5444,5733.3389,1330.5426,2711.8519
700.9879,5719.7389,1315.3759,2702.4185
701.4314,5715.8056,1308.6426,2688.1519
701.8748,5744.5056,1309.8426,2692.3185
702.3182,5761.0056,1304.5759,2702.8852
702.7616,5619.0722,1274.8759,2713.2185
703.205,5420.2389,1231.6426,2653.5852
703.6484,5237.5389,1165.1759,2575.9185
704.0917,5142.9722,1144.8426,2484.4519
704.535,5222.8722,1151.7759,2431.6185
704.9783,5355.2056,1182.5426,2460.4519
705.4215,5492.7056,1206.1759,2537.8852
705.8647,5592.4722,1218.3426,2589.0185
706.3079,5578.7389,1220.8093,2642.3519
706.7511,5480.6389,1192.1426,2655.0852
707.1942,5443.1722,1176.8093,2593.8519
707.6374,5437.0056,1164.9093,2580.1185
708.0805,5396.4389,1151.5759,2562.7519
708.5235,5366.3722,1136.3426,2555.9852
708.9666,5336.2722,1131.3759,2532.0185
709.4096,5326.8056,1118.6759,2533.0519
709.8526,5347.3722,1124.3759,2533.0185
710.2956,5348.2722,1121.8426,2541.4185
710.7385,5357.5722,1116.7759,2544.4519
711.1815,5290.8056,1102.0426,2527.1852
711.6244,5311.7389,1095.2426,2517.7519
712.0672,5241.4389,1085.0093,2511.9852
712.5101,5248.1722,1082.1093,2476.5185
712.9529,5193.0722,1068.0093,2492.2519
713.3957,5181.4056,1061.2426,2460.2519
713.8385,5128.4722,1042.0759,2459.9852
714.2813,5119.9056,1041.0093,2436.6852
714.724,5089.8722,1035.5093,2417.6852
715.1667,5049.3389,1016.2759,2407.5185
715.6094,5037.5722,1015.0759,2394.7185
716.052,5013.6056,1004.9759,2389.4852
716.4946,5023.0056,997.1759,2375.8185
716.9372,4978.2722,1001.8759,2369.1852
717.3798,4946.7389,986.0093,2347.6852
717.8224,4901.4722,981.5426,2350.2852
718.2649,4877.7722,967.6093,2332.8185
718.7074,4867.5389,972.2759,2314.0185
719.1499,4817.6722,964.4759,2308.0519
719.5923,4772.0722,950.5759,2290.0519
720.0348,4789.1389,952.2759,2273.8185
720.4772,4757.6389,950.0426,2270.8852
720.9195,4727.4722,943.6759,2264.4519
721.3619,4726.1056,941.0426,2250.3185
721.8042,4707.5389,929.2426,2251.5852
722.2465,4692.2722,927.7093,2225.7519
722.6888,4689.0389,930.1759,2222.2519
723.1311,4704.2389,928.6426,2230.8185
723.5733,4654.1389,926.4759,2229.0185
724.0155,4642.3389,922.4759,2218.5519
724.4577,4640.6389,919.5093,2211.1519
724.8998,4643.0722,926.7759,2206.3185
725.342,4590.0722,915.0759,2199.2519
725.7841,4604.7056,924.7093,2194.2519
726.2262,4615.8722,926.1759,2187.2852
726.6682,4580.7722,918.4426,2201.0519
727.1102,4594.7056,925.8426,2182.5185
727.5523,4576.7389,922.4426,2194.5852
727.9942,4589.5056,921.5426,2189.1519
728.4362,4566.9389,923.8759,2172.4852
728.8781,4569.0722,933.2426,2177.3185
729.32,4547.2056,926.6759,2184.4852
729.7619,4536.1056,925.8759,2163.8519
730.2038,4492.1722,922.7759,2156.8852
730.6456,4508.0722,924.4426,2146.4852
731.0874,4508.2722,929.0093,2141.6185
731.5292,4485.3722,931.2759,2140.3852
731.9709,4488.8056,929.8759,2156.9519
732.4127,4473.4056,938.5759,2150.6852
732.8544,4432.7389,933.9759,2134.7185
733.2961,4418.1056,936.2093,2115.3519
733.7377,4394.7389,928.0759,2123.3185
734.1794,4388.7722,935.8093,2104.8185
734.621,4381.8389,938.8426,2111.3519
735.0626,4364.9722,937.6093,2105.8852
735.5041,4324.1056,933.6759,2096.0852
735.9456,4297.1389,929.5426,2074.5185
736.3872,4299.3722,938.9093,2057.5519
736.8286,4282.5056,939.7759,2075.9852
737.2701,4266.1389,930.8093,2061.3519
737.7115,4242.7722,932.0093,2057.9185
738.1529,4173.4722,919.9093,2029.8519
738.5943,4163.3056,938.7759,2018.9852
739.0357,4141.1056,927.2093,2008.9185
739.477,4143.2389,936.7759,1998.8852
739.9183,4134.1389,941.9093,1999.4852
740.3596,4124.2722,942.4093,2002.0185
740.8009,4107.0056,949.5093,1993.3519
741.2421,4078.2056,946.9759,1984.8852
741.6833,4056.7389,942.6426,1983.9519
742.1245,4059.1722,950.2426,1951.5852
742.5657,4044.7722,955.5759,1969.6852
743.0068,4031.9056,956.1759,1966.9852
743.4479,4006.3389,966.6093,1956.6852
743.889,3999.1722,962.1093,1958.7519
744.33,3961.1056,958.2093,1941.7519
744.7711,3999.2722,974.7093,1939.1519
745.2121,3970.1722,962.2426,1936.2185
745.6531,3952.1056,973.6759,1940.4852
746.094,3935.0389,978.4093,1918.8519
746.535,3936.5722,976.8759,1923.7852
746.9759,3912.4722,987.0093,1915.8519
747.4168,3920.6389,987.9093,1914.6185
747.8576,3875.7389,988.2759,1916.4519
748.2985,3867.5056,993.0759,1893.2852
748.7393,3874.9389,992.8426,1903.5852
749.1801,3836.9056,990.4759,1880.2185
749.6208,3824.7056,1001.0093,1886.8852
750.0616,3788.7722,998.4093,1875.2852
750.5023,3783.2056,997.6426,1849.4519
750.943,3773.2056,999.1759,1851.5852
751.3836,3749.0722,999.9093,1852.5185
751.8242,3766.3389,1013.6759,1836.6185
752.2649,3730.0722,1011.1426,1847.6519
752.7054,3717.8389,1012.1759,1839.4519
753.146,3706.1722,1008.6426,1831.3852
753.5865,3723.8389,1025.0426,1818.0185
754.0271,3704.1389,1028.1426,1832.4519
754.4675,3693.4722,1039.0426,1823.7185
754.908,3689.7056,1039.6759,1836.0519
755.3484,3686.5056,1043.0093,1826.8519
755.7888,3654.4389,1040.3093,1830.3852
756.2292,3618.1722,1033.2759,1806.2185
756.6696,3622.1722,1046.1759,1791.7852
757.1099,3603.9722,1044.5426,1792.6185
757.5502,3606.9722,1048.3426,1780.2185
757.9905,3591.3056,1053.7426,1782.9852
758.4308,3588.1722,1057.3426,1781.8852
758.871,3538.0722,1052.9426,1779.8185
759.3112,3514.4389,1056.8759,1755.6519
759.7514,3491.1056,1040.5426,1745.0519
760.1916,3467.6722,1041.0093,1720.4852
760.6317,3472.5389,1053.3759,1720.4519
761.0718,3442.3056,1051.4759,1719.8185
761.5119,3444.3722,1064.4759,1709.2852
761.952,3430.5056,1062.3426,1706.1519
762.392,3458.3722,1074.1759,1712.9852
762.832,3429.9722,1064.2759,1720.4519
763.272,3378.2389,1063.7426,1697.0852
763.712,3356.9056,1059.0426,1684.4852
764.1519,3316.7722,1059.3093,1669.6519
764.5918,3311.1389,1051.9759,1660.6852
765.0317,3270.3722,1053.0759,1658.2519
765.4716,3314.4389,1067.3093,1645.8519
765.9114,3274.2389,1058.1759,1652.9519
766.3512,3272.7389,1064.3093,1641.9185
766.791,3254.7389,1065.5093,1642.4519
767.2308,3237.7056,1056.4093,1638.6185
767.6705,3231.4389,1064.0426,1632.7185
768.1102,3210.3389,1064.2759,1607.0519
768.5499,3214.1722,1072.5426,1617.0519
768.9896,3171.4056,1064.4426,1615.0852
769.4292,3159.2056,1059.5426,1591.2519
769.8688,3110.9056,1042.4093,1581.6519
770.3084,3119.4056,1048.6759,1568.4852
770.748,3105.0722,1047.3093,1564.7185
771.1875,3058.5056,1041.5759,1553.3519
771.627,3058.5056,1056.2759,1550.5519
772.0665,3030.2056,1042.3759,1539.3185
772.506,3034.1389,1055.8426,1517.9519
772.9454,2982.8056,1043.8426,1538.6519
773.3848,2990.5056,1042.8759,1519.8519
773.8242,2954.4056,1036.4093,1512.1852
774.2636,2953.9056,1033.8426,1490.8852
774.7029,2928.2056,1037.6093,1492.6185
775.1422,2927.1722,1038.9426,1473.5852
775.5815,2905.0722,1035.7093,1473.9185
776.0207,2893.1389,1036.8093,1459.2519
776.46,2893.8722,1034.9759,1478.2852
776.8992,2888.8056,1030.4093,1479.2852
777.3384,2870.3722,1035.5093,1455.7519
777.7775,2835.6056,1030.1759,1469.1852
778.2167,2837.5056,1030.8759,1452.4185
778.6558,2838.7056,1024.8759,1443.9185
779.0949,2823.6056,1031.7093,1439.7185
779.5339,2810.9056,1027.5759,1438.1852
779.973,2784.5722,1014.0759,1425.5852
780.412,2770.0722,1014.1759,1410.1185
780.851,2759.6722,1014.0759,1407.6185
781.2899,2738.5056,1012.1759,1403.5852
781.7289,2726.6389,1009.0426,1397.5185
